car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
UAM1,BLK 2A JOO SENG RD,33107.6324,35187.5516,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.334498,103.879214
UA2,BLK 3 TO 5 UPPER ALJUNIED LANE,33109.3320,35098.3344,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.333691,103.879229
UA3,BLK 10/11/19 TO 21 JOO SENG ROAD,33265.0270,35204.8735,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N,1.334654,103.880628
UA4,BLK 8 JOO SENG ROAD,33075.3159,35275.3778,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N,1.335292,103.878923
UA5,BLK 12 TO 18 JOO SENG ROAD,33326.6984,35410.4255,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,5.40,N,1.336513,103.881182
UA6,BLK 2 UPPER ALJUNIED LANE,33101.2667,35157.3013,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.334224,103.879156
UBA4,UBI AVE 4,34994.9175,35328.5373,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N,1.335772,103.896172
UBKM,BLK 13A UPPER BOON KENG ROAD,32179.7655,33010.5845,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.314810,103.870876
UBK2,BLK 11/15/18 UPPER BOON KENG,32237.8125,33097.6016,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.315597,103.871397
UBK4,BLK 19/20 UPPER BOON KENG,32537.2679,33063.4121,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.25,N,1.315288,103.874088
UBK5,BLK 38/39 UPPER BOON KENG,32522.9258,33422.5430,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.25,N,1.318536,103.873959
UBM1,BLK 5 UPP BOON KENG RD,32374.0247,32770.7980,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.312642,103.872621
UBM2,BLK 8 UPPER BOON KENG ROAD,32125.5883,32822.4057,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.313108,103.870389
UCS,BLK 34 UPPER CROSS STREET CAR PARK,28950.0781,29897.9961,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.286661,103.841855
U1,BLK 101/110 BUKIT BATOK WEST AVE 6,18391.6404,36723.7690,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.348390,103.746982
U10,BLK 178/184 BUKIT BATOK WEST AVENUE 8,18029.1321,36437.8173,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.345804,103.743724
U11,BLK 166 BUKIT BATOK WEST AVENUE 8,17982.2826,36616.6603,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.00,N,1.347421,103.743303
U12,BLK 201/211 BUKIT BATOK STREET 21,18668.6078,36565.8437,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N,1.346962,103.749470
U13,BLK 212/230 BUKIT BATOK STREET 21,19086.1700,36658.9200,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N,1.347803,103.753222
U14,BLK 217/219 BUKIT BATOK STREET 21,19276.6800,36568.9300,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.15,N,1.346990,103.754934
